n,pos,citation,lemma,gender,infl_class,english,note,forms,lists
1,noun,en pojke,pojke,en,AR,boy,,indef_sg=pojke;def_sg=pojken;indef_pl=pojkar;def_pl=pojkarna,"Swedish first 50;Basic nouns"
2,noun,en flicka,flicka,en,OR,girl,,indef_sg=flicka;def_sg=flickan;indef_pl=flickor;def_pl=flickorna,"Swedish first 50;Basic nouns"
3,noun,en mamma,mamma,en,OR,mum,,indef_sg=mamma;def_sg=mamman;indef_pl=mammor;def_pl=mammorna,"Swedish first 50;Basic nouns"
4,noun,en pappa,pappa,en,OR,dad,,indef_sg=pappa;def_sg=pappan;indef_pl=pappor;def_pl=papporna,"Swedish first 50;Basic nouns"
5,noun,en bror,bror,en,irregular,brother,irregular plural bröder,indef_sg=bror;def_sg=brodern;indef_pl=bröder;def_pl=bröderna,"Swedish first 50;Basic nouns"
6,noun,en syster,syster,en,AR,sister,,indef_sg=syster;def_sg=systern;indef_pl=systrar;def_pl=systrarna,"Swedish first 50;Basic nouns"
7,noun,ett rum,rum,ett,ZERO,room,zero plural,indef_sg=rum;def_sg=rummet;indef_pl=rum;def_pl=rummen,"Swedish first 50;Basic nouns"
8,noun,ett kök,kök,ett,ZERO,kitchen,zero plural,indef_sg=kök;def_sg=köket;indef_pl=kök;def_pl=köken,"Swedish first 50;Basic nouns"
9,noun,en säng,säng,en,AR,bed,,indef_sg=säng;def_sg=sängen;indef_pl=sängar;def_pl=sängarna,"Swedish first 50;Basic nouns"
10,noun,en klocka,klocka,en,OR,clock,"clock, watch",indef_sg=klocka;def_sg=klockan;indef_pl=klockor;def_pl=klockorna,"Swedish first 50;Basic nouns"
11,noun,en nyckel,nyckel,en,AR,key,,indef_sg=nyckel;def_sg=nyckeln;indef_pl=nycklar;def_pl=nycklarna,"Swedish first 50;Basic nouns"
12,noun,en väska,väska,en,OR,bag,,indef_sg=väska;def_sg=väskan;indef_pl=väskor;def_pl=väskorna,"Swedish first 50;Basic nouns"
